SOURCE,FROM_LINK,TO_LINK,SOURCE,FROM_PAGENO,TO_PAGENO
1879-80,http://link.nypl.org/Ox0Y5lkVTOCxd_o1MfSPwQM,http://link.nypl.org/tHvSJl0tScCW-h3bEZsp8A4,,,
1879-80,http://link.nypl.org/aIE9cNimTVyi19omndJQkwK,http://link.nypl.org/vyekeGMtSV29h-Q3Zf5G6gT,,,
1879-80,http://link.nypl.org/R0sVCPckQrq5D8KMrPLYpw7,http://link.nypl.org/ewwXs84hQ5She4DVv,,,
1879-80,http://link.nypl.org/0UFIJffKT_-fuLfCT9GZfwa,http://link.nypl.org/Yqbz54K1SJKi4hyRfq4CHg4,,,
1879-80,http://link.nypl.org/2fYZKw9ZRzqt84lg-ZS1JAi,http://link.nypl.org/-gauFcvUSz6_5z-XfV8qmwX,,,
1879-80,http://link.nypl.org/ABtWRwyGS4u3lZHxfJLg4Af,http://link.nypl.org/77i22jolS0ekXly8GCYeBwg,,,
1879-80,http://link.nypl.org/W4j7OSZ9T8W8EH4tJTv1HQp,http://link.nypl.org/MMd8WyCpT3urYOkspN6waQm,,,
1879-80,http://link.nypl.org/KUFyQI65Q3uiNItgWRB9OAY,http://link.nypl.org/KicjYKeaR8aFzpEm0yUb2wR,,,
1880-81,http://link.nypl.org/Vu0V5G1pSjSbDshs-15itAY,http://link.nypl.org/V2PJMr1tRNm4xiWxdNpFAwu,http://link.nypl.org/fT-sPNjBQRefXLtvsRpb6Ao,,
1880-81,http://link.nypl.org/jtr3WibDSg637eiyKrDDgAo,http://link.nypl.org/ol8S5zHJRmej0KbG41PvmgK,,,
1880-81,http://link.nypl.org/wBWsQyx0Rr6ajEn3ua-jGgL,http://link.nypl.org/YtmWkeSxR3-AXunzJcpGdAT,,,
1880-81,http://link.nypl.org/tznDjtSYRe-gVdRS231HTgz,http://link.nypl.org/hY8yPwmsQ3KXAUQmL1g3vwO,,,
1880-81,http://link.nypl.org/ET8OAOPJROqv7JnZ0QPhEQb,http://link.nypl.org/e3jiJrsvRFuuWIUefBZvOAd,,,
1880-81,http://link.nypl.org/7hf341y5SLW28ZZDxvTzrwe,http://link.nypl.org/7wCooodDS8KQnDdfUj2cXw3,,,
1880-81,http://link.nypl.org/elFoyGm-QYmfbtcZxDRJKgT,http://link.nypl.org/3mWnYH0XQ2Syew1ap-G4cA6,,,
1880-81,http://link.nypl.org/xxZYDoqWQkeBeLyw_PkouQZ,http://link.nypl.org/VrScHzEuTWaBaURYuivckw-,,,
1880-81,http://link.nypl.org/to34u5FFSKKPzV-t7cL1IQV,http://link.nypl.org/VSqdTJ9XQu2qYaTV_1RY0wS,,,
1880-81,http://link.nypl.org/xSQ4QG9LR-uF_74XV_lRuAQ,http://link.nypl.org/SFO1dhvaTByJnalg5wl9TQh,,,
1880-81,http://link.nypl.org/6lgRnYTIRSqxqzrPVTqNSAS,http://link.nypl.org/jP1G0dQJRfKIzTcC3iVlqAG,,,
1880-81,http://link.nypl.org/QWFzdP-0RYa4BWb7bhKcDwn,http://link.nypl.org/lPi-6Q9bRFOOgppGeL_WGwe,,,
1880-81,http://link.nypl.org/bXuZkojTRqmrVef9Px7k8Q5,http://link.nypl.org/_5ksu2Q-RoGQUx9017KfoAo,,,
1880-81,http://link.nypl.org/1EZA9x3jTmSK1VALnxpGkwN,http://link.nypl.org/ZU3CTbXZRrml5JJWsGDdDwA,,,
1880-81,http://link.nypl.org/woev2PoUSYCqpfxIDTKc4wZ,http://link.nypl.org/3ORhlE8XRjihIRzXWyORPAA,,,
1880-81,http://link.nypl.org/DJBTYhGvT3ej3Mt5bPge1Ak,http://link.nypl.org/QPYLxlxiTX2S3xjP8u24oQ0,,,
1880-81,http://link.nypl.org/wA2zH5T9QqO6Dy6Rbp4gPgI,http://link.nypl.org/qE8ctU20T96ET6UTTurSIQt,,,
